Date,Close,VIX,dmi_plus,dmi_minus,adx,trend_score,iv_signal,global_score,regime_2
2010-01-04,1132.989990234375,20.040000915527344,0.0,0.0,0.0,0,0,0,-1
2010-01-05,1136.52001953125,19.350000381469727,0.0,0.0,0.0,0,0,0,-1
2010-01-06,1137.1400146484375,19.15999984741211,0.0,0.0,0.0,0,0,0,-1
2010-01-07,1141.68994140625,19.059999465942383,0.0,0.0,0.0,0,0,0,-1
2010-01-08,1144.97998046875,18.1299991607666,0.0,0.0,0.0,0,0,0,-1
2010-01-11,1146.97998046875,17.549999237060547,0.0,0.0,0.0,0,0,0,-1
2010-01-12,1136.219970703125,18.25,0.0,0.0,0.0,0,0,0,-1
2010-01-13,1145.6800537109375,17.850000381469727,0.0,0.0,0.0,0,0,0,-1
2010-01-14,1148.4599609375,17.6299991607666,29.094813880768132,13.07705345803145,0.0,0,0,0,-1
2010-01-15,1136.030029296875,17.90999984741211,22.442378670700524,26.70989301507134,0.0,0,0,0,-1
2010-01-19,1150.22998046875,17.579999923706055,21.661159248244992,21.725861824307568,0.0,0,0,0,-1
2010-01-20,1138.0400390625,18.68000030517578,16.521034338473694,23.944937786710625,0.0,0,0,0,-1
2010-01-21,1116.47998046875,22.270000457763672,12.211986998721457,31.75512244617557,0.0,0,0,0,-1
2010-01-22,1091.760009765625,27.309999465942383,9.399009768442545,46.03863604934558,29.849565236942226,-2,0,-2,-1
2010-01-25,1096.780029296875,25.40999984741211,8.433046268361553,41.307111866181565,35.02699855744244,-2,0,-2,-1
2010-01-26,1092.1700439453125,24.549999237060547,7.346337911483893,38.35087675307881,39.71567948544718,-2,0,-2,-1
2010-01-27,1097.5,23.139999389648438,6.2348059633071475,38.77567827133822,44.370040385677484,-2,0,-2,-1
2010-01-28,1084.530029296875,23.729999542236328,5.05164186322941,35.47256645511357,48.7555378843341,-2,0,-2,-1
2010-01-29,1073.8699951171875,24.6200008392334,4.031843557570675,33.89031045514353,53.0384910729473,-2,0,-2,-1
2010-02-01,1089.18994140625,22.59000015258789,3.5153050089306013,29.54846248274623,56.70959380604433,-2,0,-2,-1
2010-02-02,1103.3199462890625,21.479999542236328,15.760717093127335,25.43751413406237,51.963706097625845,-2,0,-2,-1
2010-02-03,1097.280029296875,21.600000381469727,14.452792798243891,23.326547828354794,47.89580234755285,-2,0,-2,-1
2010-02-04,1063.1099853515625,26.079999923706055,10.648651398878513,40.98253353828187,49.446557230900126,-2,0,-2,-1
2010-02-05,1066.18994140625,26.110000610351562,8.863337781578434,47.65446795859406,52.18779726364556,-2,0,-2,-1
2010-02-08,1056.739990234375,26.510000228881836,10.986211888523236,42.2854696009756,53.125829972306896,-2,0,-2,-1
2010-02-09,1070.52001953125,26.0,15.158817796764684,35.188515696953814,51.2197165736096,-2,0,-2,-1
2010-02-10,1068.1300048828125,25.399999618530273,13.480660446297163,31.8492677472968,49.69147569736747,-2,0,-2,-1
2010-02-11,1078.469970703125,23.959999084472656,16.354849430470395,27.098795299779336,46.124846901229674,-2,0,-2,-1
2010-02-12,1075.510009765625,22.729999542236328,14.363067452461637,23.79855751200189,43.06773650454014,-2,0,-2,-1
2010-02-16,1094.8699951171875,22.25,25.940819763945694,20.086563652089353,38.73221302731077,2,0,2,-1
2010-02-17,1099.510009765625,21.719999313354492,29.1203292376501,19.00414829996415,36.20202029837565,2,0,2,-1
2010-02-18,1106.75,20.6299991607666,32.78869777302846,17.164076373704713,35.49870113374275,2,0,2,-1
2010-02-19,1109.1700439453125,20.020000457763672,33.13491058777565,15.29787859441725,35.68866125954967,2,0,2,-1
2010-02-22,1108.010009765625,19.940000534057617,30.81077782969071,14.224862245804903,35.85148422452703,2,0,2,-1
2010-02-23,1094.5999755859375,21.3700008392334,25.800023730405446,25.001228325857806,30.95447121306501,2,0,2,-1
2010-02-24,1105.239990234375,20.270000457763672,22.69631288475358,21.993611576337702,26.75703148895471,2,0,2,-1
2010-02-25,1102.93994140625,20.100000381469727,18.479131924404655,27.07177054643014,25.629429336960055,-2,0,-2,-1
2010-02-26,1104.489990234375,19.5,20.463246803654904,24.407067114700606,23.223707338835048,-1,0,-1,-1
2010-03-01,1115.7099609375,19.260000228881836,27.232030936650613,21.450126973377245,21.60272686551665,1,0,1,-1
2010-03-02,1118.31005859375,19.059999465942383,33.05618581462924,19.602240845947858,22.16654624077194,1,0,1,-1
2010-03-03,1118.7900390625,18.829999923706055,32.11054645914031,17.54122491623744,23.191754573271318,1,0,1,-1
2010-03-04,1122.969970703125,18.719999313354492,29.305402135258333,16.008841542745706,24.0705045725565,1,0,1,-1
2010-03-05,1138.699951171875,17.420000076293945,41.94377134788809,12.94623525711523,28.178781552900606,2,0,2,-1
2010-03-08,1138.5,17.790000915527344,41.782904192687134,12.234061496310646,31.9679402659134,2,0,2,-1
2010-03-09,1140.449951171875,17.920000076293945,41.71199710055091,10.573989700020018,35.90869960979271,2,0,2,-1
2010-03-10,1145.6099853515625,18.56999969482422,41.01505644944884,9.411376915025498,39.73214869993091,2,0,2,-1
2010-03-11,1150.239990234375,18.059999465942383,37.50002963083819,7.998568150353609,43.319038190025545,2,0,2,-1
2010-03-12,1149.989990234375,17.579999923706055,38.568316246686436,7.269727234740072,46.88500610090756,2,0,2,-1
2010-03-15,1150.510009765625,18.0,33.325673043659904,14.155010226165324,45.955106608111464,2,0,2,-1
2010-03-16,1159.4599609375,17.690000534057617,41.88106253408704,12.147686771830763,47.251878229753935,2,0,2,-1
2010-03-17,1166.2099609375,16.90999984741211,49.285413372964626,10.356598248817948,49.82600919324729,2,0,2,-1
2010-03-18,1165.8299560546875,16.6200008392334,44.419676838703246,9.33413592130131,52.03240716195588,2,0,2,-1
2010-03-19,1159.9000244140625,16.969999313354492,35.77365864109597,15.698914313046156,50.17075707109509,2,0,2,-1
2010-03-22,1165.81005859375,16.8700008392334,28.743049310206718,15.83643685601302,47.13949312076186,2,0,2,-1
2010-03-23,1174.1700439453125,16.350000381469727,33.70026852441194,13.568693069632905,46.48948233398791,2,0,2,-1
2010-03-24,1167.719970703125,17.549999237060547,29.950911020715775,12.059094380853141,45.932330231038804,2,0,2,-1
2010-03-25,1165.72998046875,18.399999618530273,33.74559435642978,9.661627965575414,47.29682261206425,2,0,2,-1
2010-03-26,1166.5899658203125,17.770000457763672,28.47462359584502,12.681557163673284,46.02206203356828,2,0,2,-1
2010-03-29,1173.219970703125,17.59000015258789,26.60458749192205,11.313720009683987,45.20831281450654,2,0,2,-1
2010-03-30,1173.27001953125,17.1299991607666,27.422202032597948,9.961558001647019,45.42233884855063,2,0,2,-1
2010-03-31,1169.4300537109375,17.59000015258789,24.106190303469983,13.090443657131889,43.16413356588624,2,0,2,-1
2010-04-01,1178.0999755859375,17.469999313354492,29.45871783932157,10.976412506428185,43.52761935309176,2,0,2,-1
2010-04-05,1187.43994140625,17.020000457763672,34.18185979124029,9.534765068995071,45.36356315741428,2,0,2,-1
2010-04-06,1189.43994140625,16.229999542236328,35.5500900899268,8.336888477910383,47.74126300952221,2,0,2,-1
2010-04-07,1182.449951171875,16.6200008392334,29.61374495740176,14.40842901352371,45.85538680867557,2,0,2,-1
2010-04-08,1186.43994140625,16.479999542236328,24.436724614484916,14.662187850251588,42.875975921037494,2,0,2,-1
2010-04-09,1194.3699951171875,16.139999389648438,29.973857255048912,13.034981208189365,42.37721359675721,2,0,2,-1
