Date,Close,VIX,dmi_plus,dmi_minus,adx,trend_score,iv_signal,global_score,regime_2
2010-01-04,566.4949951171875,20.040000915527344,0.0,0.0,0.0,0,0,0,-1
2010-01-05,780.2543792724609,19.350000381469727,0.0,0.0,0.0,0,0,0,-1
2010-01-06,895.1836516816737,19.15999984741211,0.0,0.0,0.0,0,0,0,-1
2010-01-07,968.342252565368,19.059999465942383,0.0,0.0,0.0,0,0,0,-1
2010-01-08,1018.5194857926364,18.1299991607666,0.0,0.0,0.0,0,0,0,-1
2010-01-11,1054.166304853649,17.549999237060547,0.0,0.0,0.0,0,0,0,-1
2010-01-12,1076.6525552320977,18.25,0.0,0.0,0.0,0,0,0,-1
2010-01-13,1095.4432796899025,17.850000381469727,0.0,0.0,0.0,0,0,0,-1
2010-01-14,1109.8242842062596,17.6299991607666,98.04630441855348,0.0,0.0,0,0,0,-1
2010-01-15,1116.9192455002033,17.90999984741211,97.47194820045134,0.0,0.0,0,0,0,-1
2010-01-19,1125.9287137084712,17.579999923706055,96.19269693509409,0.0,0.0,0,0,0,-1
2010-01-20,1129.202670682426,18.68000030517578,93.61850004033244,0.0,0.0,0,0,0,-1
2010-01-21,1125.7644338777984,22.270000457763672,88.85887603672778,0.0,0.0,0,0,0,-1
2010-01-22,1116.5763287520656,27.309999465942383,82.65926741555005,2.7690018133216516,99.0739091610118,2,0,2,-1
2010-01-25,1111.2277397282949,25.40999984741211,77.16147835299387,4.553221789819122,97.61418033570057,2,0,2,-1
2010-01-26,1106.078930611678,24.549999237060547,71.87770593457104,6.0913539871610665,95.72286109756723,2,0,2,-1
2010-01-27,1103.7612182588332,23.139999389648438,66.54989707620817,7.927084697683227,93.29283216536464,2,0,2,-1
2010-01-28,1098.5657203121666,23.729999542236328,60.81569787207797,9.632527968100352,90.34436996003167,2,0,2,-1
2010-01-29,1091.8939669557333,24.6200008392334,54.722995212922086,11.441663599349434,86.78297095020272,2,0,2,-1
2010-02-01,1091.1634547526198,22.59000015258789,49.293744208917886,12.102075117021373,83.03924304191904,2,0,2,-1
2010-02-02,1094.447613409724,21.479999542236328,44.785484044987,10.875956777430185,79.87949940105327,2,0,2,-1
2010-02-03,1095.212809019302,21.600000381469727,40.70350519801126,9.871739408850441,77.17702354466773,2,0,2,-1
2010-02-04,1086.5400265762496,26.079999923706055,35.60774163826314,12.587014167399287,72.97545480323988,2,0,2,-1
2010-02-05,1081.0423228960358,26.110000610351562,30.968403803629297,16.908653244303913,66.74558460319598,2,0,2,-1
2010-02-08,1074.4768956453074,26.510000228881836,27.17956951552603,17.252994533490025,60.40203903059562,2,0,2,-1
2010-02-09,1073.4079208864205,26.0,23.79366957375701,16.28589065538013,54.44920329265106,2,0,2,-1
2010-02-10,1071.9820590233414,25.399999618530273,20.961602005225036,15.362777903128503,48.87266080254516,2,0,2,-1
2010-02-11,1073.734808710869,23.959999084472656,18.35755570640642,13.98344715982492,43.82298963272253,2,0,2,-1
2010-02-12,1074.2143903097142,22.729999542236328,16.140585301718417,12.294720784448502,39.494700058588855,2,0,2,-1
2010-02-16,1079.7946302992132,22.25,17.13254311919196,10.794986820730728,37.09443771879218,2,0,2,-1
2010-02-17,1085.1208625522117,21.719999313354492,18.651554733987634,9.655859088125274,36.33503022947391,2,0,2,-1
2010-02-18,1090.9641084032778,20.6299991607666,20.77792220993223,8.660312664838537,37.02471541045805,2,0,2,-1
2010-02-19,1095.8825549883277,20.020000457763672,22.61899688580659,7.7590430195934825,38.72357939021505,2,0,2,-1
2010-02-22,1099.1588622325353,19.940000534057617,23.498102854957352,7.01385394558841,40.90957352112571,2,0,2,-1
2010-02-23,1097.9272506853522,21.3700008392334,22.29126599886861,6.229493897381407,43.110502087310635,2,0,2,-1
2010-02-24,1099.9028327006502,20.270000457763672,20.342437035521687,5.534023539254306,45.12719510753949,2,0,2,-1
2010-02-25,1100.7233264836705,20.100000381469727,17.757349864714463,6.504384577678292,45.30638677690149,2,0,2,-1
2010-02-26,1101.7409140940033,19.5,16.339023201381632,5.722187257056545,45.70896707407064,2,0,2,-1
2010-03-01,1105.514738872795,19.260000228881836,17.296333452419105,5.042149091661184,47.01580525330739,2,0,2,-1
2010-03-02,1108.9714739783412,19.059999465942383,19.63648174691979,4.490791470853521,49.26699712043345,2,0,2,-1
2010-03-03,1111.6240203275117,18.829999923706055,21.333017832753505,4.001257423044051,52.00204039959339,2,0,2,-1
2010-03-04,1114.6891993010827,18.719999313354492,21.45887222243156,3.583642812111524,54.77025313033156,2,0,2,-1
2010-03-05,1121.175853070699,17.420000076293945,25.417805116974623,3.146720891073059,58.08416425009279,2,0,2,-1
2010-03-08,1125.8560789790317,17.790000915527344,28.249338516643995,2.8116271908993724,61.485865580745745,2,0,2,-1
2010-03-09,1129.7987042071913,17.920000076293945,30.607261000011416,2.488469970770399,64.83959737794605,2,0,2,-1
2010-03-10,1134.0702200259934,18.56999969482422,32.31382340557866,2.2032748216075224,68.0387576549928,2,0,2,-1
2010-03-11,1138.4385838923254,18.059999465942383,32.861524234811846,1.9284726629574749,71.02088328304212,2,0,2,-1
2010-03-12,1141.5592680714838,17.579999923706055,33.601297471015364,1.7029141899828986,73.78260166578785,2,0,2,-1
2010-03-15,1143.9773665410146,18.0,32.01376186198277,1.4942887158712048,76.25380381500413,2,0,2,-1
2010-03-16,1148.1600855931142,17.690000534057617,33.27404570296449,1.302768988195483,78.56961668587873,2,0,2,-1
2010-03-17,1153.036371540909,16.90999984741211,36.463560203244924,1.13045694291711,80.77195347535545,2,0,2,-1
2010-03-18,1156.492637869411,16.6200008392334,36.79035685531688,0.9899911783103941,82.77013537811692,2,0,2,-1
2010-03-19,1157.4131645106966,16.969999313354492,35.57717830615603,0.8472041977855914,84.56699431250127,2,0,2,-1
2010-03-22,1159.6816376076617,16.8700008392334,32.29428248384668,0.7117696506255526,86.15557162939862,2,0,2,-1
2010-03-23,1163.5957705798985,16.350000381469727,31.575775746886407,0.6009931798483299,87.59969397286649,2,0,2,-1
2010-03-24,1164.70994886219,17.549999237060547,29.66977030059831,0.5166834420273801,88.88212623861746,2,0,2,-1
2010-03-25,1164.9855167370076,18.399999618530273,29.607597297847622,0.43503730596687856,90.05666065349871,2,0,2,-1
2010-03-26,1165.4189686234943,17.770000457763672,25.792618742036964,0.3661811585573149,91.07718362040791,2,0,2,-1
2010-03-29,1167.52645779413,17.59000015258789,23.111606275736378,0.3143475779454712,91.96847813489015,2,0,2,-1
2010-03-30,1169.0781166756813,17.1299991607666,21.755460787747193,0.2714160809567455,92.76378008564961,2,0,2,-1
2010-03-31,1169.1731946519435,17.59000015258789,18.97943299240015,0.23525651891901986,93.44770931929939,2,0,2,-1
2010-04-01,1171.5848199732793,17.469999313354492,19.005922252846258,0.20286579006991412,94.0820053410445,2,0,2,-1
2010-04-05,1175.8681795183757,17.020000457763672,20.739947220346508,0.17544514442512715,94.68776667203599,2,0,2,-1
2010-04-06,1179.5346752984278,16.229999542236328,22.67740586331403,0.1519606125596276,95.25647526956955,2,0,2,-1
2010-04-07,1180.3222551849592,16.6200008392334,22.01088770410823,0.13004764173065478,95.7663036858846,2,0,2,-1
2010-04-08,1181.9749861199225,16.479999542236328,20.106053464028456,0.11002493767797061,96.21561895589696,2,0,2,-1
2010-04-09,1185.3235747967385,16.139999389648438,20.646653374787462,0.09454162709891614,96.62601175680756,2,0,2,-1
2010-04-12,1188.3375470911924,15.579999923706055,22.37677690200333,0.08297427239703549,97.0024571048086,2,0,2,-1
2010-04-13,1190.758822609335,16.200000762939453,22.55088360802884,0.07216266166729515,97.3395407939905,2,0,2,-1
2010-04-14,1196.1325543384746,15.59000015258789,26.12782413881318,0.06193453646234034,97.65203959491858,2,0,2,-1
2010-04-15,1200.330103672653,15.890000343322754,29.144705445111313,0.05407812058636822,97.9345462931935,2,0,2,-1
