date,EDZ,EEM,GLD,IEF,IWM,MGK,PDBC,PSQ,QQQ,SHV,SPHB,SPHQ,SPMO,SPY,TLT,USDU,USMV,VBR,VXX,VYM,XLP,XLU,XLV
2021-01-20,0.065482,0.001,0.13072047471250697,0.001,0.15915980160382726,0.001,0.04952553493341039,0.001,0.039618060618164384,0.13191799999999998,0.028914285714285715,0.028914285714285715,0.001,0.06193197977278213,0.044788757393113575,0.07248388612072676,0.001,0.05682857142857143,0.024167866499974044,0.05682857142857143,0.04071792405978024,0.001,0.001
2021-01-21,0.065482,0.001,0.1305176526202257,0.001,0.1395452339246559,0.001,0.05109962387632092,0.001,0.06010280529493785,0.13191799999999998,0.028914285714285715,0.05682857142857143,0.028914285714285715,0.06327945089810133,0.043834001728461865,0.0680180524247907,0.001,0.05682857142857143,0.026954296551662982,0.001,0.03976316839512853,0.001,0.001
2021-01-22,0.065482,0.001,0.12865240210683762,0.001,0.1601716650937341,0.001,0.04850221672758363,0.001,0.03976907110315652,0.13191799999999998,0.028914285714285715,0.05682857142857143,0.028914285714285715,0.06312050512308758,0.04692289991628068,0.06628373626612204,0.001,0.05682857142857143,0.026839722794536218,0.001,0.042852066582947344,0.001,0.001
2021-01-25,0.065482,0.001,0.13169164390099722,0.001,0.139134605250488,0.001,0.05126582860445681,0.001,0.05765613859344828,0.13191799999999998,0.028914285714285715,0.05682857142857143,0.028914285714285715,0.061958340182562514,0.04211647729896193,0.07465950189694658,0.001,0.05682857142857143,0.026586106020795794,0.001,0.038045643965628595,0.001,0.001
2021-01-26,0.065482,0.001,0.13223586260281778,0.001,0.13863137868306907,0.05682857142857143,0.05122555656791808,0.001,0.0603956937318524,0.13191799999999998,0.001,0.05682857142857143,0.028914285714285715,0.0627484290205397,0.07927528858502053,0.07051572268765846,0.001,0.028914285714285715,0.02708635383540968,0.001,0.001,0.001,0.001
2021-01-27,0.02965866666666667,0.10955555555555554,0.1468652732669776,0.001,0.08833422887598835,0.06613333333333334,0.05211433976434961,0.001,0.024269786929916787,0.05918577777777778,0.001,0.03356666666666667,0.03356666666666667,0.03448913702152365,0.0050708333333333334,0.06131742449139242,0.001,0.06613333333333334,0.020439063101744998,0.001,0.16229991321477324,0.001,0.001
2021-01-28,0.043988000000000006,0.06613333333333334,0.1383160487784784,0.001,0.14419118093341765,0.028914285714285715,0.05005002050640703,0.001,0.05783228901530639,0.08827866666666667,0.028914285714285715,0.05682857142857143,0.001,0.05560570656451659,0.04434260482791934,0.07251491174129687,0.001,0.05682857142857143,0.01998975185235738,0.001,0.040271771494586,0.001,0.001
2021-01-29,0.015329333333333334,0.15297777777777777,0.13700389722255293,0.03356666666666667,0.04338417916640996,0.03356666666666667,0.04010049977254316,0.08241666666666668,0.03445926231499469,0.030092888888888888,0.03356666666666667,0.03356666666666667,0.03356666666666667,0.021520043194092422,0.0050708333333333334,0.04400631634546543,0.001,0.06613333333333334,0.020367819312671367,0.001,0.13530381600460342,0.001,0.001
2021-02-01,0.015329333333333334,0.15297777777777777,0.12966371545480515,0.001,0.161683748874341,0.06613333333333334,0.049779284330817616,0.001,0.03867706725777228,0.030092888888888888,0.001,0.03356666666666667,0.03356666666666667,0.052789054464173896,0.0050708333333333334,0.062431719582236415,0.001,0.06613333333333334,0.019824507834912443,0.001,0.07528006886760782,0.001,0.001
2021-02-02,0.065482,0.001,0.16303198511430023,0.001,0.14187441438484225,0.047523809523809524,0.0500964291706648,0.001,0.05639376951651668,0.13191799999999998,0.001,0.024261904761904762,0.024261904761904762,0.05205117282279718,0.07747972095904122,0.09048545362501349,0.001,0.047523809523809524,0.018615625835395538,0.001,0.001,0.001,0.001
2021-02-03,0.065482,0.001,0.16848890216888643,0.001,0.14715352350098868,0.047523809523809524,0.05309733113110041,0.009141666666666666,0.03477980750970155,0.14005966666666664,0.024261904761904762,0.001,0.024261904761904762,0.047875300013387835,0.07098446100764716,0.0931551976433717,0.001,0.047523809523809524,0.018210715120154333,0.001,0.001,0.001,0.001
2021-02-04,0.065482,0.001,0.1641099044246685,0.001,0.16470828715309718,0.047523809523809524,0.05411708270880126,0.001,0.03729709618221421,0.13191799999999998,0.047523809523809524,0.001,0.001,0.04928860046249476,0.07008313560170838,0.09258914561721862,0.001,0.047523809523809524,0.017835319278368567,0.001,0.001,0.001,0.001
2021-02-05,0.065482,0.001,0.15779871122576258,0.001,0.15249179456658898,0.05682857142857143,0.05792868563781733,0.009141666666666666,0.035549481265019646,0.14005966666666664,0.028914285714285715,0.028914285714285715,0.001,0.04611840045238259,0.05435363617764189,0.08341357326060067,0.001,0.05682857142857143,0.0181766697951387,0.001,0.001,0.001,0.001
